ID,FPS,"LOOPTYPE(0 : Single, 1 : Loop, 2: PingPong)",,
booper,17,"1",,
,,,,
TEXTURE ID,LEET,"TOP",WIDTH,HEIGHT
PlusSprite/booper0001_s.png,0,"0",100,100
PlusSprite/booper0001_s.png,100,"0",100,100
PlusSprite/booper0001_s.png,200,"0",100,100
PlusSprite/booper0001_s.png,300,"0",100,100
PlusSprite/booper0001_s.png,400,"0",100,100
PlusSprite/booper0001_s.png,500,"0",100,100
PlusSprite/booper0001_s.png,600,"0",100,100
PlusSprite/booper0001_s.png,700,"0",100,100
PlusSprite/booper0001_s.png,800,"0",100,100
PlusSprite/booper0001_s.png,900,"0",100,100
PlusSprite/booper0001_s.png,1000,"0",100,100
PlusSprite/booper0001_s.png,1100,"0",100,100
PlusSprite/booper0001_s.png,1200,"0",100,100
PlusSprite/booper0001_s.png,1300,"0",100,100
PlusSprite/booper0001_s.png,1400,"0",100,100
PlusSprite/booper0001_s.png,1500,"0",100,100
PlusSprite/booper0001_s.png,1600,"0",100,100
PlusSprite/booper0001_s.png,1700,"0",100,100
PlusSprite/booper0001_s.png,1800,"0",100,100
