ID,FPS,"LOOPTYPE(0 : Single, 1 : Loop, 2: PingPong)",,
Demon_LovePlosion,17,"0",,
,,,,
TEXTURE ID,LEET,"TOP",WIDTH,HEIGHT
Texture2D/lovePlosion0001.png,0,"0",340,340
Texture2D/lovePlosion0002.png,0,"0",340,340
Texture2D/lovePlosion0003.png,0,"0",340,340
Texture2D/lovePlosion0004.png,0,"0",340,340
Texture2D/lovePlosion0005.png,0,"0",340,340
Texture2D/lovePlosion0006.png,0,"0",340,340
Texture2D/lovePlosion0007.png,0,"0",340,340
Texture2D/lovePlosion0008.png,0,"0",340,340
Texture2D/lovePlosion0009.png,0,"0",340,340
Texture2D/lovePlosion0010.png,0,"0",340,340
Texture2D/lovePlosion0011.png,0,"0",340,340
Texture2D/lovePlosion0012.png,0,"0",340,340
Texture2D/lovePlosion0013.png,0,"0",340,340
Texture2D/lovePlosion0014.png,0,"0",340,340
Texture2D/lovePlosion0015.png,0,"0",340,340
